[2016-12-19 13:25:17,800] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2016-12-19 13:25:28,672] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker patrick:9092 (id: 0 rack: null) (state.change.logger)
[2016-12-19 13:26:17,838] TRACE Controller 0 epoch 1 changed partition [winagg,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:26:17,893] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [winagg,0] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:26:17,905] TRACE Controller 0 epoch 1 changed partition [winagg,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:26:17,906] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [winagg,0] (state.change.logger)
[2016-12-19 13:26:17,919] TRACE Broker 0 received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=0, leaderEpoch=0, isr=[0], zkVersion=0, replicas=[0]) correlation id 1 from controller 0 epoch 1 for partition [winagg,0] (state.change.logger)
[2016-12-19 13:26:17,930] TRACE Controller 0 epoch 1 sending UpdateMetadata request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition winagg-0 (state.change.logger)
[2016-12-19 13:26:17,944] TRACE Broker 0 handling LeaderAndIsr request correlationId 1 from controller 0 epoch 1 starting the become-leader transition for partition [winagg,0] (state.change.logger)
[2016-12-19 13:26:17,963] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [winagg,0] from NewReplica to OnlineReplica (state.change.logger)
[2016-12-19 13:26:18,043] TRACE Broker 0 stopped fetchers as part of become-leader request from controller 0 epoch 1 with correlation id 1 for partition [winagg,0] (state.change.logger)
[2016-12-19 13:26:18,043] TRACE Broker 0 completed LeaderAndIsr request correlationId 1 from controller 0 epoch 1 for the become-leader transition for partition [winagg,0] (state.change.logger)
[2016-12-19 13:26:18,060] TRACE Controller 0 epoch 1 received response {error_code=0,partitions=[{topic=winagg,partition=0,error_code=0}]} for a request sent to broker patrick:9092 (id: 0 rack: null) (state.change.logger)
[2016-12-19 13:26:18,108] TRACE Broker 0 cached leader info (LeaderAndIsrInfo:(Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1),ReplicationFactor:1),AllReplicas:0) for partition winagg-0 in response to UpdateMetadata request sent by controller 0 epoch 1 with correlation id 2 (state.change.logger)
[2016-12-19 13:26:18,109] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker patrick:9092 (id: 0 rack: null) (state.change.logger)
[2016-12-19 13:46:39,432] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,32] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,442] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,16] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,442] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,49] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,44] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,28] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,17] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,23] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,7] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,4] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,35] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,3] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
